tanggal,hrg
2023-01-01,14395.21052631579
2023-01-02,14352.421052631578
2023-01-03,14356.368421052632
2023-01-04,14439.684210526315
2023-01-05,14464.894736842105
2023-01-06,14510.026315789473
2023-01-07,14547.578947368422
2023-01-08,14598.0
2023-01-09,14753.763157894737
2023-01-10,14813.631578947368
2023-01-11,14914.473684210527
2023-01-12,15031.342105263158
2023-01-13,15107.236842105263
2023-01-14,15058.605263157895
2023-01-15,15091.5
2023-01-16,15191.5
2023-01-17,15221.315789473685
2023-01-18,15219.342105263158
2023-01-19,15248.5
2023-01-20,15197.184210526315
2023-01-21,15218.236842105263
2023-01-22,15187.552631578947
2023-01-23,15202.473684210527
2023-01-24,15131.421052631578
2023-01-25,15166.263157894737
2023-01-26,15198.078947368422
2023-01-27,15118.263157894737
2023-01-28,15141.263157894737
2023-01-29,15134.684210526315
2023-01-30,15122.631578947368
2023-01-31,15114.973684210527
2023-02-01,15102.921052631578
2023-02-02,15170.894736842105
2023-02-03,15173.078947368422
2023-02-04,15209.578947368422
2023-02-05,15222.21052631579
2023-02-06,15145.21052631579
2023-02-07,15196.947368421053
2023-02-08,15222.394736842105
2023-02-09,15215.605263157895
2023-02-10,15189.5
2023-02-11,15203.526315789473
2023-02-12,15113.842105263158
2023-02-13,15187.342105263158
2023-02-14,15195.0
2023-02-15,15067.131578947368
2023-02-16,15078.763157894737
2023-02-17,15065.605263157895
2023-02-18,15097.815789473685
2023-02-19,15071.5
2023-02-20,15015.157894736842
2023-02-21,14922.394736842105
2023-02-22,14907.026315789473
2023-02-23,14957.5
2023-02-24,14933.394736842105
2023-02-25,14972.842105263158
2023-02-26,14915.815789473685
2023-02-27,14909.236842105263
2023-02-28,14936.631578947368
2023-03-01,14954.184210526315
2023-03-02,14955.28947368421
2023-03-03,14953.078947368422
2023-03-04,14937.71052631579
2023-03-05,14949.763157894737
2023-03-06,14931.342105263158
2023-03-07,14910.5
2023-03-08,14848.026315789473
2023-03-09,14876.131578947368
2023-03-10,14915.605263157895
2023-03-11,14908.368421052632
2023-03-12,14870.026315789473
2023-03-13,14946.763157894737
2023-03-14,14935.815789473685
2023-03-15,14868.894736842105
2023-03-16,14868.894736842105
2023-03-17,14867.815789473685
2023-03-18,14832.947368421053
2023-03-19,14854.0
2023-03-20,14898.526315789473
2023-03-21,14936.921052631578
2023-03-22,14942.184210526315
2023-03-23,14948.763157894737
2023-03-24,14966.21052631579
2023-03-25,14954.447368421053
2023-03-26,14931.421052631578
2023-03-27,14878.78947368421
2023-03-28,14892.157894736842
2023-03-29,14863.868421052632
2023-03-30,14811.71052631579
2023-03-31,14835.842105263158
2023-04-01,14815.894736842105
2023-04-02,14845.5
2023-04-03,14705.157894736842
2023-04-04,14624.447368421053
2023-04-05,14697.447368421053
2023-04-06,14704.21052631579
2023-04-07,14685.342105263158
2023-04-08,14682.052631578947
2023-04-09,14713.421052631578
2023-04-10,14745.447368421053
2023-04-11,14727.236842105263
2023-04-12,14754.236842105263
2023-04-13,14741.105263157895
2023-04-14,14801.342105263158
2023-04-15,14798.973684210527
2023-04-16,14797.868421052632
2023-04-17,14762.815789473685
2023-04-18,14730.315789473685
2023-04-19,14743.473684210527
2023-04-20,14724.684210526315
2023-04-21,14823.263157894737
2023-04-22,14843.0
2023-04-23,14843.0
2023-04-24,14849.578947368422
2023-04-25,14865.368421052632
2023-04-26,14844.78947368421
2023-04-27,14868.894736842105
2023-04-28,14826.131578947368
2023-04-29,14772.421052631578
2023-04-30,14758.184210526315
2023-05-01,14690.421052631578
2023-05-02,14684.5
2023-05-03,14654.0
2023-05-04,14680.105263157895
2023-05-05,14676.78947368421
2023-05-06,14666.947368421053
2023-05-07,14663.657894736842
2023-05-08,14613.21052631579
2023-05-09,14554.868421052632
2023-05-10,14519.131578947368
2023-05-11,14535.394736842105
2023-05-12,14540.21052631579
2023-05-13,14579.236842105263
2023-05-14,14572.868421052632
2023-05-15,14602.026315789473
2023-05-16,14662.131578947368
2023-05-17,14627.026315789473
2023-05-18,14606.394736842105
2023-05-19,14643.894736842105
2023-05-20,14599.184210526315
2023-05-21,14618.921052631578
2023-05-22,14620.0
2023-05-23,14630.763157894737
2023-05-24,14596.105263157895
2023-05-25,14561.052631578947
2023-05-26,14561.736842105263
2023-05-27,14539.763157894737
2023-05-28,14509.078947368422
2023-05-29,14523.736842105263
2023-05-30,14493.684210526315
2023-05-31,14495.657894736842
2023-06-01,14493.5
2023-06-02,14487.578947368422
2023-06-03,14459.526315789473
2023-06-04,14459.947368421053
2023-06-05,14412.131578947368
2023-06-06,14385.131578947368
2023-06-07,14388.0
2023-06-08,14374.842105263158
2023-06-09,14384.921052631578
2023-06-10,14348.947368421053
2023-06-11,14368.684210526315
2023-06-12,14401.605263157895
2023-06-13,14424.421052631578
2023-06-14,14417.868421052632
2023-06-15,14426.605263157895
2023-06-16,14405.78947368421
2023-06-17,14409.078947368422
2023-06-18,14422.21052631579
2023-06-19,14401.157894736842
2023-06-20,14377.473684210527
2023-06-21,14321.763157894737
2023-06-22,14314.078947368422
2023-06-23,14328.315789473685
2023-06-24,14349.157894736842
2023-06-25,14373.28947368421
2023-06-26,14443.0
2023-06-27,14535.342105263158
2023-06-28,14546.973684210527
2023-06-29,14533.815789473685
2023-06-30,14528.157894736842
2023-07-01,14519.131578947368
2023-07-02,14483.394736842105
2023-07-03,14605.526315789473
2023-07-04,14657.947368421053
2023-07-05,14630.105263157895
2023-07-06,14590.605263157895
2023-07-07,14705.5
2023-07-08,14779.184210526315
2023-07-09,14823.947368421053
2023-07-10,14995.631578947368
2023-07-11,15035.131578947368
2023-07-12,15086.868421052632
2023-07-13,15205.28947368421
2023-07-14,15275.236842105263
2023-07-15,15354.157894736842
2023-07-16,15380.473684210527
2023-07-17,15463.552631578947
2023-07-18,15483.763157894737
2023-07-19,15500.657894736842
2023-07-20,15545.842105263158
2023-07-21,15565.578947368422
2023-07-22,15561.657894736842
2023-07-23,15605.526315789473
2023-07-24,15604.684210526315
2023-07-25,15583.868421052632
2023-07-26,15515.868421052632
2023-07-27,15537.78947368421
2023-07-28,15523.184210526315
2023-07-29,15478.763157894737
2023-07-30,15476.578947368422
2023-07-31,15431.394736842105
2023-08-01,15410.315789473685
2023-08-02,15389.28947368421
2023-08-03,15296.973684210527
2023-08-04,15301.315789473685
2023-08-05,15306.78947368421
2023-08-06,15300.21052631579
2023-08-07,15459.21052631579
2023-08-08,15414.473684210527
2023-08-09,15466.921052631578
2023-08-10,15497.21052631579
2023-08-11,15553.78947368421
2023-08-12,15606.184210526315
2023-08-13,15639.078947368422
2023-08-14,15898.526315789473
2023-08-15,16044.342105263158
2023-08-16,16140.631578947368
2023-08-17,16220.0
2023-08-18,16360.315789473685
2023-08-19,16348.263157894737
2023-08-20,16398.263157894737
2023-08-21,16472.605263157893
2023-08-22,16543.657894736843
2023-08-23,16527.86842105263
2023-08-24,16578.763157894737
2023-08-25,16631.473684210527
2023-08-26,16630.815789473683
2023-08-27,16650.71052631579
2023-08-28,16700.13157894737
2023-08-29,16711.052631578947
2023-08-30,16759.07894736842
2023-08-31,16727.315789473683
2023-09-01,16668.315789473683
2023-09-02,16716.78947368421
2023-09-03,16728.86842105263
2023-09-04,16682.78947368421
2023-09-05,16704.684210526317
2023-09-06,16729.684210526317
2023-09-07,16742.605263157893
2023-09-08,16737.973684210527
2023-09-09,16712.315789473683
2023-09-10,16649.842105263157
2023-09-11,16584.657894736843
2023-09-12,16544.526315789473
2023-09-13,16603.315789473683
2023-09-14,16590.815789473683
2023-09-15,16618.236842105263
2023-09-16,16681.63157894737
2023-09-17,16700.473684210527
2023-09-18,16770.473684210527
2023-09-19,16758.0
2023-09-20,16742.684210526317
2023-09-21,16743.763157894737
2023-09-22,16680.78947368421
2023-09-23,16670.92105263158
2023-09-24,16699.42105263158
2023-09-25,16613.86842105263
2023-09-26,16652.263157894737
2023-09-27,16664.973684210527
2023-09-28,16663.026315789473
2023-09-29,16614.157894736843
2023-09-30,16584.21052631579
2023-10-01,16582.0
2023-10-02,16546.447368421053
2023-10-03,16455.0
2023-10-04,16459.5
2023-10-05,16396.78947368421
2023-10-06,16340.447368421053
2023-10-07,16320.763157894737
2023-10-08,16317.842105263158
2023-10-09,16365.657894736842
2023-10-10,16339.78947368421
2023-10-11,16314.421052631578
2023-10-12,16253.184210526315
2023-10-13,16232.684210526315
2023-10-14,16235.552631578947
2023-10-15,16218.21052631579
2023-10-16,16079.842105263158
2023-10-17,15978.947368421053
2023-10-18,15947.131578947368
2023-10-19,15972.157894736842
2023-10-20,15898.5
2023-10-21,15910.578947368422
2023-10-22,15879.421052631578
2023-10-23,15753.342105263158
2023-10-24,15782.526315789473
2023-10-25,15732.078947368422
2023-10-26,15712.552631578947
2023-10-27,15666.921052631578
2023-10-28,15581.394736842105
2023-10-29,15574.815789473685
2023-10-30,15464.947368421053
2023-10-31,15434.052631578947
2023-11-01,15440.052631578947
2023-11-02,15333.157894736842
2023-11-03,15404.026315789473
2023-11-04,15375.315789473685
2023-11-05,15388.473684210527
2023-11-06,15345.5
2023-11-07,15235.78947368421
2023-11-08,15205.105263157895
2023-11-09,15170.026315789473
2023-11-10,15143.921052631578
2023-11-11,15138.21052631579
2023-11-12,15098.763157894737
2023-11-13,15163.447368421053
2023-11-14,15159.921052631578
2023-11-15,15190.71052631579
2023-11-16,15143.447368421053
2023-11-17,15070.631578947368
2023-11-18,15102.0
2023-11-19,15104.842105263158
2023-11-20,15110.131578947368
2023-11-21,15072.868421052632
2023-11-22,15123.052631578947
2023-11-23,15147.0
2023-11-24,15098.105263157895
2023-11-25,15088.894736842105
2023-11-26,15075.736842105263
2023-11-27,15046.342105263158
2023-11-28,15087.78947368421
2023-11-29,15116.947368421053
2023-11-30,15105.973684210527
2023-12-01,15104.657894736842
2023-12-02,15127.657894736842
2023-12-03,15129.421052631578
2023-12-04,15119.473684210527
2023-12-05,15131.526315789473
2023-12-06,15128.263157894737
2023-12-07,15107.131578947368
2023-12-08,15121.368421052632
2023-12-09,15102.71052631579
2023-12-10,15118.28947368421
2023-12-11,15124.842105263158
2023-12-12,15155.763157894737
2023-12-13,15115.078947368422
2023-12-14,15084.368421052632
2023-12-15,15129.315789473685
2023-12-16,15112.131578947368
2023-12-17,15135.157894736842
2023-12-18,15170.447368421053
2023-12-19,15195.447368421053
2023-12-20,15221.315789473685
2023-12-21,15195.184210526315
2023-12-22,15227.0
2023-12-23,15213.842105263158
2023-12-24,15218.21052631579
2023-12-25,15280.71052631579
2023-12-26,15284.0
2023-12-27,15358.578947368422
2023-12-28,15388.842105263158
2023-12-29,15360.763157894737
2023-12-30,15389.078947368422
2023-12-31,15371.526315789473
2024-01-01,15366.5
2024-01-02,15511.684210526315
2024-01-03,15610.105263157895
2024-01-04,15715.157894736842
2024-01-05,15698.684210526315
2024-01-06,15785.552631578947
2024-01-07,15689.736842105263
2024-01-08,15851.578947368422
2024-01-09,15927.684210526315
2024-01-10,16069.157894736842
2024-01-11,16163.868421052632
2024-01-12,16301.131578947368
2024-01-13,16291.5
2024-01-14,16334.736842105263
2024-01-15,16460.815789473683
2024-01-16,16569.184210526317
2024-01-17,16669.605263157893
2024-01-18,16727.894736842107
2024-01-19,16841.92105263158
2024-01-20,16890.157894736843
2024-01-21,16971.736842105263
2024-01-22,17145.026315789473
2024-01-23,17293.263157894737
2024-01-24,17393.236842105263
2024-01-25,17415.394736842107
2024-01-26,17494.13157894737
2024-01-27,17466.684210526317
2024-01-28,17457.947368421053
2024-01-29,17591.947368421053
2024-01-30,17603.13157894737
2024-01-31,17578.342105263157
2024-02-01,17622.63157894737
2024-02-02,17595.0
2024-02-03,17609.894736842107
2024-02-04,17634.026315789473
2024-02-05,17699.13157894737
2024-02-06,17673.052631578947
2024-02-07,17684.894736842107
2024-02-08,17698.052631578947
2024-02-09,17716.052631578947
2024-02-10,17703.763157894737
2024-02-11,17670.842105263157
2024-02-12,17549.42105263158
2024-02-13,17590.0
2024-02-14,17617.394736842107
2024-02-15,17589.57894736842
2024-02-16,17499.842105263157
2024-02-17,17487.13157894737
2024-02-18,17366.28947368421
2024-02-19,17280.315789473683
2024-02-20,17196.342105263157
2024-02-21,17123.315789473683
2024-02-22,17071.973684210527
2024-02-23,17011.684210526317
2024-02-24,16981.842105263157
2024-02-25,16973.315789473683
2024-02-26,16791.947368421053
2024-02-27,16732.28947368421
2024-02-28,16686.21052631579
2024-02-29,16613.63157894737
2024-03-01,16505.28947368421
2024-03-02,16418.052631578947
2024-03-03,16376.368421052632
2024-03-04,16339.105263157895
2024-03-05,16333.605263157895
2024-03-06,16260.631578947368
2024-03-07,16177.315789473685
2024-03-08,16252.71052631579
2024-03-09,16261.526315789473
2024-03-10,16274.236842105263
2024-03-11,16309.526315789473
2024-03-12,16237.157894736842
2024-03-13,16147.657894736842
2024-03-14,16194.578947368422
2024-03-15,16180.973684210527
2024-03-16,16144.342105263158
2024-03-17,16146.131578947368
2024-03-18,16125.736842105263
2024-03-19,16061.263157894737
2024-03-20,15998.736842105263
2024-03-21,15936.447368421053
2024-03-22,15989.5
2024-03-23,15944.605263157895
2024-03-24,15981.894736842105
2024-03-25,15853.552631578947
2024-03-26,15831.842105263158
2024-03-27,15762.526315789473
2024-03-28,15788.631578947368
2024-03-29,15766.71052631579
2024-03-30,15777.447368421053
2024-03-31,15719.78947368421
2024-04-01,15629.184210526315
2024-04-02,15632.684210526315
2024-04-03,15571.28947368421
2024-04-04,15562.105263157895
2024-04-05,15563.5
2024-04-06,15577.736842105263
2024-04-07,15639.78947368421
2024-04-08,15579.868421052632
2024-04-09,15600.684210526315
2024-04-10,15605.078947368422
2024-04-11,15606.052631578947
2024-04-12,15630.078947368422
2024-04-13,15625.71052631579
2024-04-14,15588.868421052632
2024-04-15,15632.263157894737
2024-04-16,15636.973684210527
2024-04-17,15628.236842105263
2024-04-18,15645.342105263158
2024-04-19,15633.5
2024-04-20,15635.473684210527
2024-04-21,15650.842105263158
2024-04-22,15597.184210526315
2024-04-23,15577.657894736842
2024-04-24,15540.394736842105
2024-04-25,15592.78947368421
2024-04-26,15544.342105263158
2024-04-27,15578.342105263158
2024-04-28,15592.578947368422
2024-04-29,15687.947368421053
2024-04-30,15722.394736842105
2024-05-01,15701.78947368421
2024-05-02,15737.868421052632
2024-05-03,15697.552631578947
2024-05-04,15749.947368421053
2024-05-05,15750.947368421053
2024-05-06,15602.052631578947
2024-05-07,15668.052631578947
2024-05-08,15597.684210526315
2024-05-09,15585.631578947368
2024-05-10,15581.236842105263
2024-05-11,15529.5
2024-05-12,15488.236842105263
2024-05-13,15650.078947368422
2024-05-14,15600.526315789473
2024-05-15,15695.263157894737
2024-05-16,15663.921052631578
2024-05-17,15644.842105263158
2024-05-18,15580.552631578947
2024-05-19,15603.368421052632
2024-05-20,15631.447368421053
2024-05-21,15657.526315789473
2024-05-22,15627.684210526315
2024-05-23,15647.973684210527
2024-05-24,15690.21052631579
2024-05-25,15745.026315789473
2024-05-26,15764.815789473685
2024-05-27,15997.657894736842
2024-05-28,16159.236842105263
2024-05-29,16261.868421052632
2024-05-30,16235.342105263158
2024-05-31,16267.131578947368
2024-06-01,16346.526315789473
2024-06-02,16318.052631578947
